cell,clat,clon,cell_area,clon180
143,-67.3104334577818,61.58757734546419,127164071850.0562,61.58757734546418
144,-67.3104334577818,69.95967036872,127164071850.0562,69.95967036872
145,-67.3104334577818,78.33176339197581,127164071850.0568,78.33176339197581
146,-67.3104334577818,86.70385641523166,127164071850.05615,86.70385641523166
147,-67.3104334577818,95.07594943848744,127164071850.05612,95.07594943848744
148,-67.3104334577818,103.44804246174323,127164071850.05524,103.44804246174323
149,-67.3104334577818,111.82013548499903,127164071850.05682,111.82013548499901
150,-67.3104334577818,120.19222850825489,127164071850.05684,120.19222850825486
151,-67.3104334577818,128.5643215315107,127164071850.05531,128.5643215315107
152,-67.3104334577818,136.9364145547665,127164071850.05704,136.9364145547665
153,-67.3104334577818,145.30850757802233,127164071850.05693,145.30850757802233
154,-67.3104334577818,153.68060060127817,127164071850.0554,153.68060060127817
155,-67.3104334577818,162.0526936245339,127164071850.05539,162.0526936245339
156,-67.3104334577818,170.4247866477897,127164071850.0569,170.4247866477897
157,-67.3104334577818,-1.2031203289544266,127164071850.05757,-1.2031203289544123
158,-67.3104334577818,-172.83102730569857,127164071850.05658,-172.83102730569857
159,-67.3104334577818,-164.45893428244273,127164071850.05693,-164.45893428244273
160,-67.3104334577818,-156.08684125918694,127164071850.05507,-156.08684125918694
161,-67.3104334577818,-147.71474823593118,127164071850.0558,-147.71474823593118
162,-67.3104334577818,-139.34265521267537,127164071850.05688,-139.34265521267537
163,-67.3104334577818,-130.97056218941952,127164071850.05658,-130.97056218941952
164,-67.3104334577818,-122.59846916616371,127164071850.05605,-122.59846916616371
165,-67.3104334577818,-114.2263761429079,127164071850.05649,-114.2263761429079
166,-67.3104334577818,-105.85428311965205,127164071850.05693,-105.85428311965205
167,-67.3104334577818,-97.48219009639627,127164071850.05493,-97.48219009639627
168,-67.3104334577818,-89.11009707314051,127164071850.05594,-89.11009707314051
169,-67.3104334577818,-80.73800404988464,127164071850.05838,-80.73800404988464
